Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,
141645413,000005EB,false,Rx,1,8,00,3F,09,01,00,00,00,01,
141645669,000005E9,false,Rx,1,8,00,3F,09,01,00,00,00,01,
141646216,000005E7,false,Rx,1,8,00,3F,09,01,00,00,00,01,
141771320,0000021B,false,Rx,1,8,00,00,00,00,6F,02,00,04,
141771575,00000219,false,Rx,1,8,00,C0,7F,00,70,02,00,04,
141772115,00000217,false,Rx,1,8,00,C0,7F,00,6F,02,00,04,
141838923,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
141847090,0000042C,false,Rx,1,8,00,60,00,00,20,01,00,00,
141847336,0000043C,false,Rx,1,8,00,60,00,00,20,01,00,00,
141847585,0000044C,false,Rx,1,8,00,60,00,00,20,01,00,00,
141857127,0000042C,false,Rx,1,8,00,60,00,00,20,00,00,00,
141857374,0000043C,false,Rx,1,8,00,60,00,00,20,00,00,00,
141857622,0000044C,false,Rx,1,8,00,60,00,00,20,00,00,00,
141938731,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
141938865,0000010C,false,Rx,1,2,01,00,00,00,00,00,00,00,
141957136,0000042C,false,Rx,1,8,00,60,00,00,20,00,00,00,
141957383,0000043C,false,Rx,1,8,00,60,00,00,20,00,00,00,
141957631,0000044C,false,Rx,1,8,00,60,00,00,20,00,00,00,
141981182,000005E7,false,Rx,1,8,00,3F,09,01,00,00,00,01,
142038729,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
142057136,0000042C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142057384,0000043C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142057631,0000044C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142081628,000005E9,false,Rx,1,8,00,3F,09,01,00,00,00,01,
142107087,00000217,false,Rx,1,8,00,C0,7F,00,6F,02,00,04,
142138730,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
142138864,0000010C,false,Rx,1,2,02,00,00,00,00,00,00,00,
142139013,00000547,false,Rx,1,2,02,FF,00,00,00,00,00,00,
142157142,0000042C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142157388,0000043C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142157636,0000044C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142182413,000005EB,false,Rx,1,8,00,3F,09,01,00,00,00,01,
142197452,00000207,false,Rx,1,8,00,01,40,00,00,04,04,00,
142197691,00000227,false,Rx,1,8,0E,02,B5,00,F9,00,3A,B8,
142197933,00000237,false,Rx,1,8,3D,41,00,17,00,00,00,00,
142198180,00000247,false,Rx,1,8,00,7D,89,03,00,00,26,00,
142198420,00000717,false,Rx,1,8,02,00,00,00,00,00,00,00,
142207261,00000217,false,Rx,1,8,00,C0,7F,00,80,02,00,04,
142207537,00000219,false,Rx,1,8,00,C0,7F,00,71,02,00,04,
142238727,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
142257134,0000042C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142257381,0000043C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142257628,0000044C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142297434,00000207,false,Rx,1,8,00,01,40,00,68,07,14,00,
142297667,00000227,false,Rx,1,8,0C,02,BC,00,04,01,3A,B8,
142297907,00000237,false,Rx,1,8,3D,41,00,17,00,00,00,00,
142298162,00000209,false,Rx,1,8,00,00,00,00,00,04,04,00,
142298388,00000229,false,Rx,1,8,08,02,9C,00,1D,01,3A,B8,
142298635,00000239,false,Rx,1,8,3E,41,00,17,00,00,00,00,
142298868,00000247,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142299108,00000249,false,Rx,1,8,00,7D,89,03,00,00,26,00,
142299357,00000719,false,Rx,1,8,02,00,00,00,00,00,00,00,
142307222,00000217,false,Rx,1,8,00,C0,7F,00,80,02,00,04,
142307726,00000219,false,Rx,1,8,00,C0,7F,00,82,02,00,04,
142308325,0000021B,false,Rx,1,8,00,00,00,00,6F,02,00,04,
142338722,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
142338849,0000010C,false,Rx,1,2,03,00,00,00,00,00,00,00,
142339005,00000549,false,Rx,1,2,03,FF,00,00,00,00,00,00,
142339140,00000547,false,Rx,1,2,03,FF,00,00,00,00,00,00,
142339274,0000054B,false,Rx,1,2,03,FF,00,00,00,00,00,00,
142357137,0000042C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142357383,0000043C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142357632,0000044C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142397431,00000207,false,Rx,1,8,00,01,40,00,68,07,14,00,
142397665,00000227,false,Rx,1,8,14,02,AB,00,DA,00,3A,B8,
142397904,00000209,false,Rx,1,8,00,00,00,00,68,07,14,00,
142398144,00000229,false,Rx,1,8,12,02,A0,00,16,01,3A,B8,
142398385,00000237,false,Rx,1,8,3D,41,00,17,00,00,00,00,
142398633,00000239,false,Rx,1,8,3E,41,00,17,00,00,00,00,
142398881,0000020B,false,Rx,1,8,00,01,80,FF,00,04,04,00,
142399115,0000022B,false,Rx,1,8,F3,01,99,00,1F,01,3A,B8,
142399354,0000023B,false,Rx,1,8,3D,41,00,17,00,00,00,00,
142399593,00000247,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142399828,00000249,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142400068,0000024B,false,Rx,1,8,00,7D,89,03,00,00,26,00,
142400307,00000717,false,Rx,1,8,04,00,00,00,0D,09,1A,00,
142400556,0000071B,false,Rx,1,8,02,00,00,00,00,00,00,00,
142407228,00000217,false,Rx,1,8,00,80,7F,00,80,02,00,04,
142407693,00000219,false,Rx,1,8,00,C0,7F,00,82,02,00,04,
142408510,0000021B,false,Rx,1,8,00,00,00,00,7E,02,00,04,
142438724,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
142457140,0000042C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142457380,0000043C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142457635,0000044C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142497387,00000207,false,Rx,1,8,00,01,40,00,68,07,14,00,
142497625,00000227,false,Rx,1,8,1C,02,B0,00,CD,00,3A,B8,
142497874,00000237,false,Rx,1,8,3D,41,00,17,00,00,00,00,
142498115,00000209,false,Rx,1,8,00,00,00,00,68,07,14,00,
142498347,00000229,false,Rx,1,8,21,02,9B,00,F4,00,3A,B8,
142498587,00000239,false,Rx,1,8,3E,41,00,17,00,00,00,00,
142498828,0000020B,false,Rx,1,8,00,01,80,FF,68,07,14,00,
142499069,0000022B,false,Rx,1,8,FF,01,9D,00,08,01,3A,B8,
142499316,0000023B,false,Rx,1,8,3D,41,00,17,00,00,00,00,
142499548,00000247,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142499782,00000249,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142500022,0000024B,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142500262,00000717,false,Rx,1,8,05,00,00,00,00,00,00,00,
142500503,00000719,false,Rx,1,8,04,00,00,00,0D,09,08,00,
142507182,00000217,false,Rx,1,8,00,80,7F,00,80,02,00,04,
142507693,00000219,false,Rx,1,8,00,C0,7F,00,82,02,00,04,
142508480,0000021B,false,Rx,1,8,00,00,00,00,7E,02,00,04,
142538721,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
142538857,0000010C,false,Rx,1,2,04,00,00,00,00,00,00,00,
142539013,00000547,false,Rx,1,2,04,FF,00,00,00,00,00,00,
142539147,00000549,false,Rx,1,2,04,FF,00,00,00,00,00,00,
142539273,0000054B,false,Rx,1,2,04,FF,00,00,00,00,00,00,
142557136,0000042C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142557384,0000043C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142557631,0000044C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142597361,00000207,false,Rx,1,8,00,01,40,00,68,05,14,00,
142597593,00000227,false,Rx,1,8,2E,02,B6,00,B3,00,3A,B8,
